,CurrencyId,Language
0,1,C
1,1,C++
2,1,Wikitext
3,2,Python
4,2,JavaScript
5,2,TypeScript
6,2,HTML
7,2,Go
8,5,JavaScript
9,5,TypeScript
10,5,Python
11,5,C++
12,5,Shell
13,6,JavaScript
14,6,TypeScript
15,6,HTML
16,9,Rust
17,9,TypeScript
18,9,JavaScript
19,9,Shell
20,9,C
21,13,JavaScript
22,13,TypeScript
23,13,Go
24,13,Solidity
25,13,Shell
26,14,TypeScript
27,14,JavaScript
28,14,C++
29,14,Python
30,14,HTML
31,15,JavaScript
32,15,HTML
33,15,C++
34,15,Java
35,15,Python
36,17,JavaScript
37,17,HTML
38,20,Go
39,20,Rust
40,20,TypeScript
41,20,JavaScript
42,20,Solidity
43,22,JavaScript
44,22,Go
45,22,TypeScript
46,22,Solidity
47,22,Shell
48,23,Go
49,23,Shell
50,23,Python
51,23,HCL
52,23,JavaScript
53,24,JavaScript
54,24,TypeScript
55,24,Solidity
56,24,Python
57,24,Go
58,29,HTML
59,29,JavaScript
60,29,Go
61,29,Shell
62,29,Ruby
63,30,Java
64,30,TypeScript
65,30,JavaScript
66,30,Go
67,30,Shell
68,32,Go
69,32,Rust
70,32,JavaScript
71,32,TypeScript
72,32,Shell
73,33,Go
74,33,JavaScript
75,33,TypeScript
76,33,Solidity
77,33,Shell
78,34,Python
79,34,TypeScript
80,34,JavaScript
81,34,Go
82,34,Solidity
83,35,Go
84,35,Shell
85,35,Rust
86,35,TypeScript
87,35,JavaScript
88,36,TypeScript
89,36,Rust
90,36,Move
91,36,Shell
92,36,C
93,37,JavaScript
94,37,PHP
95,37,Java
96,37,TypeScript
97,37,Vue
98,39,TypeScript
99,39,Vue
100,39,JavaScript
101,39,Go
102,39,Java
103,41,TypeScript
104,41,Go
105,41,JavaScript
106,41,Solidity
107,41,Shell
108,42,Solidity
109,42,JavaScript
110,42,Python
111,42,Shell
112,42,TypeScript
113,43,TypeScript
114,43,JavaScript
115,43,Solidity
116,43,C
117,43,HTML
118,44,TypeScript
119,44,JavaScript
120,44,Rust
121,44,Go
122,44,TeX
123,46,JavaScript
124,46,TypeScript
125,46,HTML
126,46,Solidity
127,46,Python
128,53,C++
129,53,JavaScript
130,53,C
131,53,Shell
132,53,Python
133,54,JavaScript
134,54,TypeScript
135,54,Solidity
136,54,Go
137,54,Python
138,57,JavaScript
139,57,Rust
140,57,Go
141,57,Solidity
142,57,TypeScript
143,58,Go
144,58,C#
145,58,Java
146,58,Shell
147,58,TypeScript
148,59,TypeScript
149,59,JavaScript
150,59,C#
151,59,Rust
152,59,Go
153,63,Go
154,63,Shell
155,63,Python
156,63,HCL
157,63,JavaScript
158,64,C#
159,64,JavaScript
160,64,HTML
161,64,Java
162,64,TypeScript
163,65,Go
164,65,TypeScript
165,65,JavaScript
166,65,C
167,65,Swift
168,67,Go
169,67,Shell
170,67,Python
171,67,HCL
172,67,JavaScript
173,69,C
174,69,C++
175,69,Python
176,69,HTML
177,70,Go
178,70,JavaScript
179,70,Cadence
180,70,TypeScript
181,70,Kotlin
182,74,JavaScript
183,74,TypeScript
184,74,Shell
185,74,Python
186,74,Go
187,78,Rust
188,78,Kotlin
189,78,C++
190,78,Python
191,78,Swift
192,79,Rust
193,79,TypeScript
194,79,JavaScript
195,79,Shell
196,79,Python
197,80,Rust
198,80,Move
199,80,Python
200,80,TypeScript
201,80,JavaScript
202,82,JavaScript
203,82,Python
204,82,C++
205,82,Go
206,82,C
207,84,JavaScript
208,84,TypeScript
209,84,Go
210,84,Rust
211,84,Solidity
212,86,JavaScript
213,86,Go
214,86,TypeScript
215,86,C
216,86,Solidity
217,91,JavaScript
218,91,TypeScript
219,91,Rust
220,91,Solidity
221,91,Elixir
222,92,JavaScript
223,97,HCL
224,97,JavaScript
225,97,C++
226,97,Python
227,97,Go
228,99,TypeScript
229,99,Rust
230,99,JavaScript
231,99,Vue
232,99,Solidity
233,100,JavaScript
234,100,Python
235,100,Rust
236,100,C
237,100,Shell
238,102,TypeScript
239,102,JavaScript
240,102,Solidity
241,102,Java
242,102,Move
243,104,TypeScript
244,104,C++
245,104,C
246,104,JavaScript
247,104,Erlang
248,105,TypeScript
249,105,JavaScript
250,105,Go
251,105,C++
252,105,Rust
253,106,Go
254,106,Rust
255,106,JavaScript
256,106,TypeScript
257,106,Shell
258,108,JavaScript
259,108,C
260,108,C++
261,108,Go
262,108,Ruby
263,109,JavaScript
264,109,C
265,109,C++
266,109,Go
267,109,Ruby
268,110,JavaScript
269,110,TypeScript
270,110,Solidity
271,110,Swift
272,110,Python
273,112,Python
274,112,JavaScript
